date,open,high,low,close
2014/03/31,5366.9,5416.0,5366.9,5394.8
2014/03/28,5350.1,5372.5,5342.7,5366.9
2014/03/27,5376.8,5376.8,5322.2,5350.1
2014/03/26,5336.6,5394.2,5336.6,5376.8
2014/03/25,5346.9,5346.9,5310.7,5336.6
2014/03/24,5338.1,5346.9,5301.4,5346.9
2014/03/21,5294.0,5338.1,5294.0,5338.1
2014/03/20,5355.6,5355.6,5288.5,5294.0
2014/03/19,5344.6,5356.9,5334.4,5355.6
2014/03/18,5317.6,5362.2,5317.6,5344.6
2014/03/17,5329.4,5331.1,5311.4,5317.6
2014/03/14,5412.6,5412.6,5329.4,5329.4
2014/03/13,5384.2,5425.5,5384.2,5412.6
2014/03/12,5413.8,5413.8,5345.9,5384.2
2014/03/11,5411.4,5433.4,5404.4,5413.8
2014/03/10,5462.3,5462.3,5409.5,5411.5
2014/03/07,5445.9,5462.3,5444.3,5462.3
2014/03/06,5446.2,5446.2,5422.7,5445.9
2014/03/05,5406.2,5453.1,5406.2,5446.2
2014/03/04,5382.7,5408.2,5369.5,5400.2
2014/03/03,5404.8,5404.8,5340.3,5384.3
