Time,Open,High,Low,Last,Change,%Chg,Volume
12/31/2020,6682.4,6682.4,6587.1,6587.1,-95.3,-1.43%,0
12/30/2020,6700.3,6700.3,6630.5,6682.4,-17.9,-0.27%,0
12/29/2020,6664.8,6725.1,6664.8,6700.3,35.5,+0.53%,0
12/24/2020,6643.1,6704.9,6643.1,6664.8,21.7,+0.33%,0
12/23/2020,6599.6,6661.2,6599.6,6643.1,43.5,+0.66%,0
12/22/2020,6669.9,6669.9,6585,6599.6,-70.3,-1.05%,0
12/21/2020,6675.5,6678.5,6635.8,6669.9,-5.6,-0.08%,0
12/18/2020,6756.7,6765.7,6675.5,6675.5,-81.2,-1.20%,0
12/17/2020,6679.2,6756.7,6679.2,6756.7,77.5,+1.16%,0
12/16/2020,6631.3,6719.6,6631.3,6679.2,47.9,+0.72%,0
12/15/2020,6660.2,6660.2,6625.7,6631.3,-28.9,-0.43%,0
12/14/2020,6642.6,6693.7,6642.6,6660.2,17.6,+0.26%,0
12/11/2020,6683.1,6688.2,6632.3,6642.6,-40.5,-0.61%,0
12/10/2020,6728.5,6728.5,6678.3,6683.1,-45.4,-0.67%,0
12/09/2020,6687.7,6745.3,6687.7,6728.5,40.8,+0.61%,0
12/08/2020,6675,6699.4,6658.9,6687.7,12.7,+0.19%,0
12/07/2020,6634.3,6714.7,6634.3,6675,40.9,+0.62%,0
12/04/2020,6615.3,6650.1,6613.9,6634.1,18.8,+0.28%,0
12/03/2020,6590.2,6628.2,6590.2,6615.3,25.1,+0.38%,0
12/02/2020,6588.5,6616,6561.5,6590.2,1.7,+0.03%,0
12/01/2020,6517.8,6613.5,6511.4,6588.5,70.7,+1.08%,0
11/30/2020,6601.1,6641.1,6517.8,6517.8,-83.3,-1.26%,0
11/27/2020,6636.4,6636.4,6587.9,6601.1,-35.3,-0.53%,0
11/26/2020,6683.3,6686.4,6636.4,6636.4,-46.9,-0.70%,0
11/25/2020,6644.1,6713.3,6644.1,6683.3,39.2,+0.59%,0
11/24/2020,6561.6,6661.4,6561.6,6644.1,82.5,+1.26%,0
11/23/2020,6539.2,6594,6539.2,6561.6,22.4,+0.34%,0
11/20/2020,6547.2,6562.1,6535.6,6539.2,-8,-0.12%,0
11/19/2020,6531.1,6547.2,6498,6547.2,16.1,+0.25%,0
11/18/2020,6498.2,6541.2,6494.7,6531.1,32.9,+0.51%,0
11/17/2020,6484.3,6530.4,6484.3,6498.2,13.9,+0.21%,0
11/16/2020,6422.9,6487.3,6422.9,6484.3,79.1,+1.23%,0
11/13/2020,6418.4,6418.4,6377.6,6405.2,-13,-0.20%,0
11/12/2020,6449.7,6470.9,6399.6,6418.2,-31.5,-0.49%,0
11/11/2020,6340.5,6451,6340.5,6449.7,109.2,+1.72%,0
11/10/2020,6298.8,6438.2,6298.8,6340.5,41.7,+0.66%,0
11/09/2020,6190.2,6303.1,6190.2,6298.8,108.6,+1.75%,0
11/06/2020,6139.6,6202.3,6139.6,6190.2,50.6,+0.82%,0
11/05/2020,6062.1,6143.7,6062.1,6139.6,77.5,+1.28%,0
11/04/2020,6066.4,6096.4,5986,6062.1,-4.3,-0.07%,0
11/03/2020,5951.3,6090.8,5951.3,6066.4,115.1,+1.93%,0
11/02/2020,5927.6,5960.6,5904.1,5951.3,23.7,+0.40%,0
10/30/2020,5960.3,5986.6,5927.6,5927.6,-32.7,-0.55%,0
10/29/2020,6057.7,6057.7,5940,5960.3,-97.4,-1.61%,0
10/28/2020,6051,6075.6,6020.2,6057.7,6.7,+0.11%,0
10/27/2020,6155.6,6155.6,6033.8,6051,-104.6,-1.70%,0
10/26/2020,6167,6206.5,6154.8,6155.6,-11.4,-0.18%,0
10/23/2020,6173.8,6184.2,6148.4,6167,-6.8,-0.11%,0
10/22/2020,6191.8,6191.8,6100.6,6173.8,-18,-0.29%,0
10/21/2020,6184.6,6206.3,6181.2,6191.8,7.2,+0.12%,0
10/20/2020,6229.4,6241.1,6181.1,6184.6,-44.8,-0.72%,0
10/19/2020,6176.8,6248.3,6176.8,6229.4,52.6,+0.85%,0
10/16/2020,6210.3,6216.2,6165,6176.8,-33.5,-0.54%,0
10/15/2020,6179.2,6233.4,6179.2,6210.3,31.1,+0.50%,0
10/14/2020,6195.7,6198.4,6174.7,6179.2,-16.5,-0.27%,0
10/13/2020,6132,6214.7,6132,6195.7,63.7,+1.04%,0
10/12/2020,6102.2,6132,6093.1,6132,29.8,+0.49%,0
10/09/2020,6102,6127.4,6087.6,6102.2,0.2,0.00%,0
10/08/2020,6036.4,6123.4,6036.4,6102,65.6,+1.09%,0
10/07/2020,5962.1,6043.8,5944.7,6036.4,74.3,+1.25%,0
10/06/2020,5941.6,5963.9,5912.7,5962.1,20.5,+0.35%,0
10/05/2020,5791.5,5942.8,5791.5,5941.6,150.1,+2.59%,0
10/02/2020,5872.9,5872.9,5779.6,5791.5,-81.4,-1.39%,0
10/01/2020,5815.9,5916.5,5815.9,5872.9,57,+0.98%,0
09/30/2020,5952,5952,5815.9,5815.9,-136.2,-2.29%,0
09/29/2020,5952.3,5995.4,5935.1,5952.1,-0.2,0.00%,0
09/28/2020,5964.9,5977.3,5941,5952.3,-12.6,-0.21%,0
09/25/2020,5875.9,5973.7,5875.9,5964.9,89,+1.51%,0
09/24/2020,5923.9,5923.9,5824.8,5875.9,-48,-0.81%,0
