,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2020/12/31 00:00:00,2020-12-30T15:00:00,"{'bid': 6671.0, 'ask': 6674.0, 'lastTraded': None}","{'bid': 6678.0, 'ask': 6681.0, 'lastTraded': None}","{'bid': 6686.0, 'ask': 6689.0, 'lastTraded': None}","{'bid': 6670.0, 'ask': 6673.0, 'lastTraded': None}",1588
1,2020/12/31 01:00:00,2020-12-30T16:00:00,"{'bid': 6679.0, 'ask': 6682.0, 'lastTraded': None}","{'bid': 6681.0, 'ask': 6684.0, 'lastTraded': None}","{'bid': 6689.0, 'ask': 6692.0, 'lastTraded': None}","{'bid': 6675.0, 'ask': 6678.0, 'lastTraded': None}",1290
2,2020/12/31 02:00:00,2020-12-30T17:00:00,"{'bid': 6681.5, 'ask': 6684.5, 'lastTraded': None}","{'bid': 6682.0, 'ask': 6685.0, 'lastTraded': None}","{'bid': 6685.0, 'ask': 6688.0, 'lastTraded': None}","{'bid': 6676.0, 'ask': 6679.0, 'lastTraded': None}",646
3,2020/12/31 03:00:00,2020-12-30T18:00:00,"{'bid': 6683.0, 'ask': 6686.0, 'lastTraded': None}","{'bid': 6682.0, 'ask': 6685.0, 'lastTraded': None}","{'bid': 6687.0, 'ask': 6690.0, 'lastTraded': None}","{'bid': 6682.0, 'ask': 6685.0, 'lastTraded': None}",497
4,2020/12/31 04:00:00,2020-12-30T19:00:00,"{'bid': 6682.5, 'ask': 6685.5, 'lastTraded': None}","{'bid': 6673.0, 'ask': 6676.0, 'lastTraded': None}","{'bid': 6684.0, 'ask': 6687.0, 'lastTraded': None}","{'bid': 6669.0, 'ask': 6672.0, 'lastTraded': None}",671
5,2020/12/31 05:00:00,2020-12-30T20:00:00,"{'bid': 6672.0, 'ask': 6675.0, 'lastTraded': None}","{'bid': 6647.0, 'ask': 6650.0, 'lastTraded': None}","{'bid': 6677.0, 'ask': 6680.0, 'lastTraded': None}","{'bid': 6644.0, 'ask': 6647.0, 'lastTraded': None}",1318
6,2020/12/31 06:00:00,2020-12-30T21:00:00,"{'bid': 6651.7, 'ask': 6655.7, 'lastTraded': None}","{'bid': 6658.3, 'ask': 6662.3, 'lastTraded': None}","{'bid': 6658.4, 'ask': 6662.4, 'lastTraded': None}","{'bid': 6645.1, 'ask': 6649.1, 'lastTraded': None}",0
7,2020/12/31 07:00:00,2020-12-30T22:00:00,"{'bid': 6658.4, 'ask': 6662.4, 'lastTraded': None}","{'bid': 6655.6, 'ask': 6657.6, 'lastTraded': None}","{'bid': 6659.6, 'ask': 6662.4, 'lastTraded': None}","{'bid': 6648.6, 'ask': 6650.6, 'lastTraded': None}",457
8,2020/12/31 08:00:00,2020-12-30T23:00:00,"{'bid': 6657.1, 'ask': 6659.1, 'lastTraded': None}","{'bid': 6666.1, 'ask': 6667.1, 'lastTraded': None}","{'bid': 6675.6, 'ask': 6676.6, 'lastTraded': None}","{'bid': 6657.1, 'ask': 6658.1, 'lastTraded': None}",2581
9,2020/12/31 09:00:00,2020-12-31T00:00:00,"{'bid': 6665.1, 'ask': 6666.1, 'lastTraded': None}","{'bid': 6640.1, 'ask': 6641.1, 'lastTraded': None}","{'bid': 6674.1, 'ask': 6675.1, 'lastTraded': None}","{'bid': 6640.1, 'ask': 6641.1, 'lastTraded': None}",1890
10,2020/12/31 10:00:00,2020-12-31T01:00:00,"{'bid': 6639.1, 'ask': 6640.1, 'lastTraded': None}","{'bid': 6642.6, 'ask': 6643.6, 'lastTraded': None}","{'bid': 6643.1, 'ask': 6644.1, 'lastTraded': None}","{'bid': 6621.1, 'ask': 6622.1, 'lastTraded': None}",2441
11,2020/12/31 11:00:00,2020-12-31T02:00:00,"{'bid': 6642.1, 'ask': 6643.1, 'lastTraded': None}","{'bid': 6615.1, 'ask': 6616.1, 'lastTraded': None}","{'bid': 6643.1, 'ask': 6644.1, 'lastTraded': None}","{'bid': 6613.1, 'ask': 6614.1, 'lastTraded': None}",3301
12,2020/12/31 12:00:00,2020-12-31T03:00:00,"{'bid': 6614.1, 'ask': 6615.1, 'lastTraded': None}","{'bid': 6596.2, 'ask': 6600.2, 'lastTraded': None}","{'bid': 6618.1, 'ask': 6619.1, 'lastTraded': None}","{'bid': 6575.1, 'ask': 6576.1, 'lastTraded': None}",7525
13,2020/12/31 13:00:00,2020-12-31T04:00:00,"{'bid': 6596.0, 'ask': 6600.0, 'lastTraded': None}","{'bid': 6597.5, 'ask': 6601.5, 'lastTraded': None}","{'bid': 6599.6, 'ask': 6603.6, 'lastTraded': None}","{'bid': 6591.0, 'ask': 6595.0, 'lastTraded': None}",0
14,2020/12/31 14:00:00,2020-12-31T05:00:00,"{'bid': 6597.1, 'ask': 6601.1, 'lastTraded': None}","{'bid': 6598.3, 'ask': 6602.3, 'lastTraded': None}","{'bid': 6602.2, 'ask': 6606.2, 'lastTraded': None}","{'bid': 6595.6, 'ask': 6599.6, 'lastTraded': None}",0
15,2020/12/31 15:00:00,2020-12-31T06:00:00,"{'bid': 6598.1, 'ask': 6602.1, 'lastTraded': None}","{'bid': 6593.6, 'ask': 6597.6, 'lastTraded': None}","{'bid': 6599.1, 'ask': 6603.1, 'lastTraded': None}","{'bid': 6592.9, 'ask': 6596.9, 'lastTraded': None}",0
16,2020/12/31 16:00:00,2020-12-31T07:00:00,"{'bid': 6594.0, 'ask': 6598.0, 'lastTraded': None}","{'bid': 6591.0, 'ask': 6595.0, 'lastTraded': None}","{'bid': 6594.9, 'ask': 6598.9, 'lastTraded': None}","{'bid': 6583.8, 'ask': 6587.8, 'lastTraded': None}",0
17,2020/12/31 17:00:00,2020-12-31T08:00:00,"{'bid': 6591.2, 'ask': 6595.2, 'lastTraded': None}","{'bid': 6578.2, 'ask': 6582.2, 'lastTraded': None}","{'bid': 6594.9, 'ask': 6598.9, 'lastTraded': None}","{'bid': 6573.4, 'ask': 6577.4, 'lastTraded': None}",0
18,2020/12/31 18:00:00,2020-12-31T09:00:00,"{'bid': 6578.6, 'ask': 6582.6, 'lastTraded': None}","{'bid': 6578.2, 'ask': 6582.2, 'lastTraded': None}","{'bid': 6583.4, 'ask': 6587.4, 'lastTraded': None}","{'bid': 6572.5, 'ask': 6576.5, 'lastTraded': None}",0
19,2020/12/31 19:00:00,2020-12-31T10:00:00,"{'bid': 6578.4, 'ask': 6582.4, 'lastTraded': None}","{'bid': 6588.7, 'ask': 6592.7, 'lastTraded': None}","{'bid': 6591.7, 'ask': 6595.7, 'lastTraded': None}","{'bid': 6576.2, 'ask': 6580.2, 'lastTraded': None}",0
20,2020/12/31 20:00:00,2020-12-31T11:00:00,"{'bid': 6588.6, 'ask': 6592.6, 'lastTraded': None}","{'bid': 6590.4, 'ask': 6594.4, 'lastTraded': None}","{'bid': 6593.6, 'ask': 6597.6, 'lastTraded': None}","{'bid': 6585.3, 'ask': 6589.3, 'lastTraded': None}",0
21,2020/12/31 21:00:00,2020-12-31T12:00:00,"{'bid': 6590.0, 'ask': 6594.0, 'lastTraded': None}","{'bid': 6584.9, 'ask': 6588.9, 'lastTraded': None}","{'bid': 6593.0, 'ask': 6597.0, 'lastTraded': None}","{'bid': 6583.9, 'ask': 6587.9, 'lastTraded': None}",0
22,2020/12/31 22:00:00,2020-12-31T13:00:00,"{'bid': 6584.5, 'ask': 6588.5, 'lastTraded': None}","{'bid': 6584.5, 'ask': 6588.5, 'lastTraded': None}","{'bid': 6586.0, 'ask': 6590.0, 'lastTraded': None}","{'bid': 6579.7, 'ask': 6583.7, 'lastTraded': None}",0
23,2020/12/31 23:00:00,2020-12-31T14:00:00,"{'bid': 6584.1, 'ask': 6588.1, 'lastTraded': None}","{'bid': 6584.6, 'ask': 6588.6, 'lastTraded': None}","{'bid': 6587.9, 'ask': 6591.9, 'lastTraded': None}","{'bid': 6578.1, 'ask': 6582.1, 'lastTraded': None}",0
24,2021/01/01 00:00:00,2020-12-31T15:00:00,"{'bid': 6585.0, 'ask': 6589.0, 'lastTraded': None}","{'bid': 6587.1, 'ask': 6591.1, 'lastTraded': None}","{'bid': 6593.7, 'ask': 6597.7, 'lastTraded': None}","{'bid': 6585.0, 'ask': 6589.0, 'lastTraded': None}",0
25,2021/01/01 01:00:00,2020-12-31T16:00:00,"{'bid': 6586.7, 'ask': 6590.7, 'lastTraded': None}","{'bid': 6580.1, 'ask': 6584.1, 'lastTraded': None}","{'bid': 6589.8, 'ask': 6593.8, 'lastTraded': None}","{'bid': 6578.9, 'ask': 6582.9, 'lastTraded': None}",0
26,2021/01/01 02:00:00,2020-12-31T17:00:00,"{'bid': 6580.5, 'ask': 6584.5, 'lastTraded': None}","{'bid': 6588.7, 'ask': 6592.7, 'lastTraded': None}","{'bid': 6591.4, 'ask': 6595.4, 'lastTraded': None}","{'bid': 6579.3, 'ask': 6583.3, 'lastTraded': None}",0
27,2021/01/01 03:00:00,2020-12-31T18:00:00,"{'bid': 6589.1, 'ask': 6593.1, 'lastTraded': None}","{'bid': 6586.9, 'ask': 6590.9, 'lastTraded': None}","{'bid': 6590.0, 'ask': 6594.0, 'lastTraded': None}","{'bid': 6584.5, 'ask': 6588.5, 'lastTraded': None}",0
28,2021/01/01 04:00:00,2020-12-31T19:00:00,"{'bid': 6586.5, 'ask': 6590.5, 'lastTraded': None}","{'bid': 6600.5, 'ask': 6604.5, 'lastTraded': None}","{'bid': 6604.8, 'ask': 6608.8, 'lastTraded': None}","{'bid': 6582.6, 'ask': 6586.6, 'lastTraded': None}",0
29,2021/01/01 05:00:00,2020-12-31T20:00:00,"{'bid': 6600.9, 'ask': 6604.9, 'lastTraded': None}","{'bid': 6610.5, 'ask': 6614.5, 'lastTraded': None}","{'bid': 6622.8, 'ask': 6626.8, 'lastTraded': None}","{'bid': 6600.3, 'ask': 6604.3, 'lastTraded': None}",0
30,2021/01/01 06:00:00,2020-12-31T21:00:00,"{'bid': 6609.7, 'ask': 6613.7, 'lastTraded': None}","{'bid': 6616.3, 'ask': 6620.3, 'lastTraded': None}","{'bid': 6623.1, 'ask': 6627.1, 'lastTraded': None}","{'bid': 6609.7, 'ask': 6613.7, 'lastTraded': None}",0
31,2021/01/01 07:00:00,2020-12-31T22:00:00,"{'bid': 6616.1, 'ask': 6620.1, 'lastTraded': None}","{'bid': 6616.1, 'ask': 6620.1, 'lastTraded': None}","{'bid': 6616.1, 'ask': 6620.1, 'lastTraded': None}","{'bid': 6616.1, 'ask': 6620.1, 'lastTraded': None}",0
32,2021/01/04 07:00:00,2021-01-03T22:00:00,"{'bid': 6619.1, 'ask': 6621.1, 'lastTraded': None}","{'bid': 6608.6, 'ask': 6610.6, 'lastTraded': None}","{'bid': 6621.6, 'ask': 6623.6, 'lastTraded': None}","{'bid': 6603.6, 'ask': 6605.6, 'lastTraded': None}",891
33,2021/01/04 08:00:00,2021-01-03T23:00:00,"{'bid': 6611.6, 'ask': 6613.6, 'lastTraded': None}","{'bid': 6631.1, 'ask': 6632.1, 'lastTraded': None}","{'bid': 6644.1, 'ask': 6645.1, 'lastTraded': None}","{'bid': 6599.6, 'ask': 6600.6, 'lastTraded': None}",7076
34,2021/01/04 09:00:00,2021-01-04T00:00:00,"{'bid': 6630.1, 'ask': 6631.1, 'lastTraded': None}","{'bid': 6637.8, 'ask': 6638.8, 'lastTraded': None}","{'bid': 6647.1, 'ask': 6648.1, 'lastTraded': None}","{'bid': 6615.1, 'ask': 6616.1, 'lastTraded': None}",4764
35,2021/01/04 10:00:00,2021-01-04T01:00:00,"{'bid': 6638.3, 'ask': 6639.3, 'lastTraded': None}","{'bid': 6654.8, 'ask': 6655.8, 'lastTraded': None}","{'bid': 6660.8, 'ask': 6661.8, 'lastTraded': None}","{'bid': 6638.3, 'ask': 6639.3, 'lastTraded': None}",4024
36,2021/01/04 11:00:00,2021-01-04T02:00:00,"{'bid': 6655.3, 'ask': 6656.3, 'lastTraded': None}","{'bid': 6663.8, 'ask': 6664.8, 'lastTraded': None}","{'bid': 6666.8, 'ask': 6667.8, 'lastTraded': None}","{'bid': 6649.8, 'ask': 6650.8, 'lastTraded': None}",2922
37,2021/01/04 12:00:00,2021-01-04T03:00:00,"{'bid': 6664.8, 'ask': 6665.8, 'lastTraded': None}","{'bid': 6665.8, 'ask': 6666.8, 'lastTraded': None}","{'bid': 6681.8, 'ask': 6682.8, 'lastTraded': None}","{'bid': 6664.8, 'ask': 6665.8, 'lastTraded': None}",3301
38,2021/01/04 13:00:00,2021-01-04T04:00:00,"{'bid': 6664.8, 'ask': 6665.8, 'lastTraded': None}","{'bid': 6677.8, 'ask': 6678.8, 'lastTraded': None}","{'bid': 6677.8, 'ask': 6678.8, 'lastTraded': None}","{'bid': 6661.8, 'ask': 6662.8, 'lastTraded': None}",3905
39,2021/01/04 14:00:00,2021-01-04T05:00:00,"{'bid': 6677.3, 'ask': 6679.3, 'lastTraded': None}","{'bid': 6673.3, 'ask': 6677.3, 'lastTraded': None}","{'bid': 6680.3, 'ask': 6682.3, 'lastTraded': None}","{'bid': 6668.3, 'ask': 6670.3, 'lastTraded': None}",4861
40,2021/01/04 15:00:00,2021-01-04T06:00:00,"{'bid': 6673.1, 'ask': 6677.1, 'lastTraded': None}","{'bid': 6672.8, 'ask': 6675.8, 'lastTraded': None}","{'bid': 6678.8, 'ask': 6682.1, 'lastTraded': None}","{'bid': 6670.8, 'ask': 6673.8, 'lastTraded': None}",403
41,2021/01/04 16:00:00,2021-01-04T07:00:00,"{'bid': 6674.8, 'ask': 6677.8, 'lastTraded': None}","{'bid': 6692.3, 'ask': 6695.3, 'lastTraded': None}","{'bid': 6692.8, 'ask': 6695.8, 'lastTraded': None}","{'bid': 6673.8, 'ask': 6676.8, 'lastTraded': None}",1015
42,2021/01/04 17:00:00,2021-01-04T08:00:00,"{'bid': 6692.8, 'ask': 6695.8, 'lastTraded': None}","{'bid': 6683.8, 'ask': 6686.8, 'lastTraded': None}","{'bid': 6698.3, 'ask': 6701.3, 'lastTraded': None}","{'bid': 6672.8, 'ask': 6675.8, 'lastTraded': None}",1504
43,2021/01/04 18:00:00,2021-01-04T09:00:00,"{'bid': 6683.3, 'ask': 6686.3, 'lastTraded': None}","{'bid': 6698.8, 'ask': 6701.8, 'lastTraded': None}","{'bid': 6708.8, 'ask': 6711.8, 'lastTraded': None}","{'bid': 6683.3, 'ask': 6686.3, 'lastTraded': None}",1108
44,2021/01/04 19:00:00,2021-01-04T10:00:00,"{'bid': 6699.3, 'ask': 6702.3, 'lastTraded': None}","{'bid': 6689.8, 'ask': 6692.8, 'lastTraded': None}","{'bid': 6703.8, 'ask': 6706.8, 'lastTraded': None}","{'bid': 6686.8, 'ask': 6689.8, 'lastTraded': None}",791
45,2021/01/04 20:00:00,2021-01-04T11:00:00,"{'bid': 6690.3, 'ask': 6693.3, 'lastTraded': None}","{'bid': 6693.8, 'ask': 6696.8, 'lastTraded': None}","{'bid': 6699.8, 'ask': 6702.8, 'lastTraded': None}","{'bid': 6689.8, 'ask': 6692.8, 'lastTraded': None}",562
46,2021/01/04 21:00:00,2021-01-04T12:00:00,"{'bid': 6694.3, 'ask': 6697.3, 'lastTraded': None}","{'bid': 6701.8, 'ask': 6704.8, 'lastTraded': None}","{'bid': 6701.8, 'ask': 6704.8, 'lastTraded': None}","{'bid': 6691.8, 'ask': 6694.8, 'lastTraded': None}",526
47,2021/01/04 22:00:00,2021-01-04T13:00:00,"{'bid': 6700.8, 'ask': 6703.8, 'lastTraded': None}","{'bid': 6696.8, 'ask': 6699.8, 'lastTraded': None}","{'bid': 6702.8, 'ask': 6705.8, 'lastTraded': None}","{'bid': 6693.8, 'ask': 6696.8, 'lastTraded': None}",788
